name,averageMs,medianMs,percentage,layer,subpath,has_conv,has_Q,has_SiLU,has_PWN,reformat,role,q_folded_into_conv,engine
/model.22/m.0/m.0.1/attn/Split_42,0.00586468,0.005856,0.364699,model.22,m.0/m.0.1/attn,False,False,False,False,False,attention,False,PTQ
/model.22/m.0/m.0.1/attn/MatMul,0.0113043,0.011296,0.702968,model.22,,False,False,False,False,False,attention,False,PTQ
/model.22/m.0/m.0.1/attn/Softmax,0.00920664,0.009216,0.572522,model.22,,False,False,False,False,False,attention,False,PTQ
/model.22/m.0/m.0.1/attn/Split_44,0.00601146,0.00592,0.373827,model.22,m.0/m.0.1/attn,False,False,False,False,False,attention,False,PTQ
/model.22/m.0/m.0.1/attn/Reshape_2,0.0,0.0,0.0,model.22,,False,False,False,False,False,attention,False,PTQ
/model.22/m.0/m.0.1/attn/MatMul_1,0.0188161,0.01872,1.17009,model.22,,False,False,False,False,False,attention,False,PTQ
/model.22/m.0/m.0.1/attn/Reshape_1,0.0,0.0,0.0,model.22,,False,False,False,False,False,attention,False,PTQ
/model.22/m.0/m.0.1/attn/pe/conv/Conv + /model.22/m.0/m.0.1/attn/Add,0.0089911,0.008992,0.559118,model.22,m.0/m.0.1/attn/pe,True,False,False,False,False,attention,False,PTQ
Reformatting CopyNode for Input Tensor 0 to /model.22/m.0/m.0.1/attn/proj/conv/Conv + /model.22/m.0/m.0.1/Add,0.00871637,0.008736,0.542034,model.22,m.0/m.0.1/attn/proj,True,False,False,False,True,reformat,False,PTQ
/model.22/m.0/m.0.1/attn/proj/conv/Conv + /model.22/m.0/m.0.1/Add,0.00829463,0.008224,0.515808,model.22,m.0/m.0.1/attn/proj,True,False,False,False,False,attention,False,PTQ
"/model.22/m.0/m.0.1/ffn/ffn.0/conv/Conv + PWN(PWN(/model.22/m.0/m.0.1/ffn/ffn.0/act/Sigmoid), PWN(/model.22/m.0/m.0.1/ffn/ffn.0/act/Mul))",0.0082665,0.008224,0.514059,model.22,m.0/m.0.1/ffn/ffn.0,True,False,True,True,False,"conv+SiLU (fused, Q folded in)",False,PTQ
/model.22/m.0/m.0.1/ffn/ffn.1/conv/Conv + /model.22/m.0/m.0.1/Add_1,0.00855458,0.00848,0.531973,model.22,m.0/m.0.1/ffn/ffn.1,True,False,False,False,False,conv-only,False,PTQ
/model.22/Split_output_0 copy,0.0061268,0.006112,0.381,model.22,,False,False,False,False,False,other,False,PTQ
/model.22/Split_output_1 copy,0.00608354,0.006112,0.37831,model.22,,False,False,False,False,False,other,False,PTQ
